name,relation,content
基础知识答案,包含,向东度数增大为东经度，向西度数增大为西经度。
基础知识答案,包含,(1)月球的正面永远都是向著地球，也有昼夜更替；
基础知识答案,包含,(2)无大气，故月球表面昼夜的温差大，陨石坑多，无声音、无风；
基础知识答案,包含,(3)月球表面有山脉、平原（即月海）、火山。
基础知识答案,包含,向北度数增大为北纬度，向南度数增大为南纬度。
基础知识答案,包含,互相平行的圆，赤道是最长的纬线圈，由此往两极逐渐缩短。
基础知识答案,包含,所有经线都是交于南北极点的半圆，长度都相等。
基础知识答案,包含,沿著自转方向增大的是东经，减小的是西经。
基础知识答案,包含,度数向北增大为北纬，向南增大为南纬。
基础知识答案,包含,20°W往东至160°E为东半球，20°W往西至160°E为西半球。
基础知识答案,包含,劣弧定律（例如东经80°在东经1°的东面，在西经170°的西面）
基础知识答案,包含,相同图幅，比例尺愈大，表示的范围愈小；比例尺愈小，表示的范围愈大。
基础知识答案,包含,一般情况，“上北下南，左西右东”；有指向标的地图，指向标的箭头指向北方；经纬网地图，经线指示南北方向，纬线指示东西方向。
基础知识答案,包含,同一幅图中等高线越密，坡度越陡；等压线越密，风力越大；等温线越密，温差越大。
基础知识答案,包含,等高线向高处凸出的地方为山谷，向低处凸出的地方为山脊。
基础知识答案,包含,等高线凸出方向与河流流向相反。
基础知识答案,包含,等温线凸出方向与洋流流向相同。
基础知识答案,包含,星云、恒星、流星、彗星、行星、卫星、星际空间的气体、尘埃等。
基础知识答案,包含,总星系——银河系（银河外星系）——太阳系——地月系
基础知识答案,包含,类地行星（水金地火）、巨行星（木土）、远日行星（天、海）。
基础知识答案,包含,稳定的光照条件、安全的宇宙环境、适宜的大气和温度、液态水。
基础知识答案,包含,光球(黑子)、色球(耀斑)、日冕(太阳风)。
基础知识答案,包含,黑子（标志）、耀斑（最激烈），太阳黑子的变化周期11年。
基础知识答案,包含,黑子--影响气候，耀斑-－电离层-－无线电通讯，带电粒子流――磁场――磁暴。
基础知识答案,包含,①维持地表温度，促进地球上水、大气、生物活动和变化的主要动力。
基础知识答案,包含,②太阳能是我们日常所用能源。
基础知识答案,包含,自西向东，北极上空俯视呈逆时针方向、南极上空俯视呈顺时针方向。
基础知识答案,包含,①线速度（由赤道向两极递减至0）
基础知识答案,包含,②角速度（除两极为0外，各地相等）
基础知识答案,包含,①恒星日（23h56m4s真正周期）
基础知识答案,包含,②太阳日（24时，昼夜更替周）
基础知识答案,包含,①昼夜更替
基础知识答案,包含,②不同经度不同的地方时
基础知识答案,包含,③水准运动物体的偏移（北右南左）
基础知识答案,包含,沿自转方向，黑夜向白天过渡为晨线，白天向黑夜过渡为昏线（晨昏线上太阳高度角为0度）。
基础知识答案,包含,晨昏线与经线重合-----春秋分；晨昏线与经线交角最大----夏至、冬至。
基础知识答案,包含,所求时间＝已知时间±区时差＋途中时间
基础知识答案,包含,以本初子午线（0°）时间为标准时，也称为格林尼治时间，也是零时区的区时。
基础知识答案,包含,零点经线往东至日界线（180°）为地球上的“今天”，往西至日界线为“昨天”。
基础知识答案,包含,自西向东越过日界线（不完全经过180°经线）日期减一天，自东向西越过日期加一天。
基础知识答案,包含,自然因素：①气象条件需要天气晴朗；②地球自转的初速度：取决於纬度和地势；③地形平坦开阔；
基础知识答案,包含,人文因素(地广人稀，交通便利，符合国防安全需要)：①太原：技术力量强；②酒泉：大陆性气候，晴天多；③西昌纬度低，发射初速度大；④海南文昌：纬度低，发射初速度大；海运便利。
基础知识答案,包含,1月初--近日点—速度快，7月初--远日点—速度慢
基础知识答案,包含,①昼夜长短的变化
基础知识答案,包含,②正午太阳高度的变化
基础知识答案,包含,③四季的更替
基础知识答案,包含,④五带的形成
基础知识答案,包含,①黄赤交角存在---太阳直射点的移动---昼夜长短和正午太阳高度的变化---四季；黄赤交角存在---太阳直射点的移动—气压带风带的季节移动—地中海气候、热带草原气候的形成。
基础知识答案,包含,②五带的划分界线：南北回归线之间为热带、回归线极圈之间为温带、极圈极点之间为寒带；
基础知识答案,包含,③若黄赤夹角变大，热带和寒带变大，温带变小；若黄赤夹角变小，热带和寒带变小，温带变大若黄赤交角为零，太阳永远直射赤道，全球昼夜平分，地中海气候、热带草原气候消失。
基础知识答案,包含,①由直射点向南北两侧递减；
基础知识答案,包含,②正午太阳高度的计算=90°—△（直射点与所求点的纬度间隔）；
基础知识答案,包含,"③夏至日北回归线以北地区正午高度角一年中最大值,南半球一年中最小值；冬至日南回归线以南地区正午高度角一年中最大值，北半球一年中最小值；"
基础知识答案,包含,④南北回归线之间的地区-----有两次直射机会---两次最大值；
基础知识答案,包含,⑤纬度越高，正午太阳高度角越小，楼房间距越大。
基础知识答案,包含,①太阳直射点在哪个半球，哪个半球昼长夜短，北半球夏季，太阳直射点在北半球，北半球的昼长夜短。
基础知识答案,包含,②太阳直射点向哪个半球移动，这个半球的昼就渐长，北半球6月22日昼最长，12月22日最短。
基础知识答案,包含,③南北回归线之间昼长最大值与正午太阳高度角最大值不在同一天出现，如海口市。
基础知识答案,包含,北半球夏半年，昼长夜短，越向北白昼越长（日出越早日落越晚），如北京＞上海＞广州北半球冬半年，昼短夜长，越向南白昼越长（日出越早日落越晚）。如海口＞广州＞上海。
基础知识答案,包含,日落时间—日出时间
基础知识答案,包含,12：00－昼长/2（或0：00＋夜长/2）
基础知识答案,包含,12：00＋昼长/2（或24：00－夜长/2）
基础知识答案,包含,地球是个不发光、不透明球体
基础知识答案,包含,地球自转的球体（自转速度周期影响昼夜温差变化）
基础知识答案,包含,地球倾斜的公转的球体—－直射点的移动、正午太阳高度、昼夜长短的变化
基础知识答案,包含,①随高度增加气温降低；
基础知识答案,包含,②大气对流运动（12km）显著；
基础知识答案,包含,③天气复杂多变。
基础知识答案,包含,①随高度增加温度升高；
基础知识答案,包含,②大气平稳，以水准运动为主，有利於高空飞行。
基础知识答案,包含,太阳辐射--地面增温--地面辐射--大气增温--大气（逆）辐射--大气保温
基础知识答案,包含,吸收、反射、散射
基础知识答案,包含,晴朗的天气、地势高空气稀薄，光照越强；我国太阳能的分布青藏高原最高，四川盆地最低。
基础知识答案,包含,强烈吸收地面长波辐射，并通过大气逆辐射把热量还给地面。
基础知识答案,包含,白天多云，气温不高（云层反射作用强）；夜晚多云，气温较高（大气逆辐射强）。
基础知识答案,包含,对流层气温随高度的增加而递减
基础知识答案,包含,①纬度分布：纬度越高，气温越低，我国热量最丰富的地区：海南岛
基础知识答案,包含,②海陆分布：夏季陆地＞海洋，冬季海洋＞陆地；
基础知识答案,包含,③气温高的地方，等温线向高纬凸出，反之，气温低的地方，等温线向低纬凸出。
基础知识答案,包含,①影响因素：海陆热力性质；地表植被水分状况；云雨多少。
基础知识答案,包含,②变化规律：内陆＞沿海，大陆性气候＞海洋性气候，裸地＞草地＞林地＞湖泊，晴天＞阴天。
基础知识答案,包含,(1)水准方向相邻地面热的地方——垂直气流上升――低气压（气旋）——阴雨
基础知识答案,包含,(2)水准方向相邻地面冷的地方——垂直气流下沉――高气压（反气旋）——晴朗
基础知识答案,包含,(3)垂直方向的气温气压分布：随海拔升高，虽然气温降低，但是空气变稀，气压降低。
基础知识答案,包含,(4)来自低纬的气流——暖湿
基础知识答案,包含,(5)来自高纬的气流——冷干
基础知识答案,包含,(6)来自海洋的气流——湿
基础知识答案,包含,(7)来自大陆的气流（离陆风）——干
基础知识答案,包含,(8)两种性质不同的气流相遇——锋面——阴雨、风
基础知识答案,包含,近地面，气温高，空气膨胀上升，地面形成低压；反之，气温低，近地面的空气收缩下沉，地面形成高压。
基础知识答案,包含,大气的水准运动叫风，水准气压梯度力是形成风的直接原因，等压线愈密风速愈大。
基础知识答案,包含,风的来向
基础知识答案,包含,①确定水准气压梯度力的方向：垂直於等压线并且由高压指向低压
基础知识答案,包含,②确定地转偏向力方向：与风向垂直，北半球右偏，南半球左偏
基础知识答案,包含,③近地面受磨擦力（方向与风向相反）的影响，风向与等压线斜交
基础知识答案,包含,①冷锋过境雨区在锋后，出现雨雪、降温天气。过境后，气压升高，气温骤降，天气转晴；
基础知识答案,包含,②暖锋过境雨区在锋前，多为连续性降水。过境后，气温上升，气压下降，天气转晴。
基础知识答案,包含,冷锋：如我国北方夏季的暴雨、冬季我国的寒潮、冬春季节出现的沙尘暴。
基础知识答案,包含,①气旋（低气压）垂直气流上升，天气阴雨。;
基础知识答案,包含,②反气旋（高气压）垂直气流下沉，天气晴朗。
基础知识答案,包含,①三圈环流（垂直分布）；
基础知识答案,包含,②气压带、风带（水准分布）；
基础知识答案,包含,③长城考察站红旗向西北飘，视窗要避开东南方向；黄河考察站红旗向西南飘，视窗要避开东北方向。
基础知识答案,包含,随太阳直射点的移动而移动。移动方向：就北半球而言，大致是夏季北移，冬季南移。
基础知识答案,包含,海陆热力差异使亚洲、太平洋中心随季节变化而变化的情况：夏季：亚洲大陆上形成亚洲低压，太平洋上形成夏威夷高压；冬季：亚洲大陆上形成亚洲高压，太平洋上形成阿留申低压。
基础知识答案,包含,太阳辐射、大气环流、下垫面、人类活动
基础知识答案,包含,①判断南北半球，
基础知识答案,包含,②判断热量带，
基础知识答案,包含,③判断雨型。
基础知识答案,包含,热带的四种气候类型：热带雨林气候、热带沙漠气候、热带季风气候、热带草原气候
基础知识答案,包含,亚热带气候类型：地中海气候、亚热带季风气候
基础知识答案,包含,温带气候类型：温带海洋性气候、温带季风气候、温带大陆性气候
基础知识答案,包含,大陆性气候气温的日较差、年较差大，气温最高月在7月，最低气温在1月。年降水量少。海洋性气候日较差、年较差小，最热月在8月、最冷月在2月，年降水量较多。
基础知识答案,包含,是指因暴雨洪涝、乾旱、台风、寒潮、大风沙尘、大（浓）雾、高温低温等因素直接造成的灾害。
基础知识答案,包含,全球变暖（温室效应CO2）、臭氧层破坏（氟氯烃消耗O3）、酸雨（SO2、NO2）。
基础知识答案,包含,①大量燃烧矿物燃料——大气中CO2增加——大气逆辐射增强。
基础知识答案,包含,②滥砍滥伐森林——光合作用减弱——CO2相对增多——大气逆辐射增强。
基础知识答案,包含,③大气逆辐射增强——温室效应——气温升高——全球热量带分布发生变化——经济结构发生调整（农业经济结构调整，中纬受损，高纬受益，使适宜种植业生产地域缩小，粮食减产。）
基础知识答案,包含,④极地冰山融化，沿海地区海海平面上升，沿海地区地下水水质变坏。
基础知识答案,包含,①通过光合作用保持大气中O2和CO2的平衡，净化空气；
基础知识答案,包含,②绿化植物和防护林可以调节气候、涵养水源、保持水土、防风固沙；
基础知识答案,包含,③城市绿地的作用是吸烟除尘、过滤空气、减轻污染、降低噪音、美化环境。
基础知识答案,包含,①按其发生领域分为海陆间大循环、内陆回圈和海上内回圈。
基础知识答案,包含,②水回圈的主要环节有：蒸发，水汽输送，降水，径流。
基础知识答案,包含,③它的重要意义在於：使淡水资源不断补充、更新，使水资源得以再生，维持全球水的动态平衡。
基础知识答案,包含,①以雨水补给为主的的河流其径流的变化与降雨量变化一致：a地中海气候为主的河流，其流量冬季最大；b季风气候为主河流，流量夏季最大;c温带海洋性与热带雨林气候河流流量全年变化小；
基础知识答案,包含,②以冰雪补给为主的河流其径流变化与气温关系密切：冰川融水补给为主的河流，其流量夏季最大；
基础知识答案,包含,③河流水地下水之间可相互补给，湖泊对河流径流起调蓄作用。
基础知识答案,包含,①我国东部河流以降水补给为主（夏汛型，东北春季有积雪融水）
基础知识答案,包含,②我国西北地方河流以冰雪融水补给为主（夏汛型，冬季断流）
基础知识答案,包含,①判断南北半球（越北越冷是北半球）
基础知识答案,包含,②洋流流向和海水等温线凸出方向一致：高温流向低温是暖流，反之是寒流。
基础知识答案,包含,太阳辐射（收入）、蒸发（支出）、洋流
基础知识答案,包含,定向风（地球上的风带）是形成洋流最基本的动力，风海流是最基本的洋流类型。
基础知识答案,包含,①中低纬度洋流圈北半球呈顺时针方向、南半球呈反时针方向。；
基础知识答案,包含,②北半球中高纬逆时针方向洋流圈；
基础知识答案,包含,③南半球40—60度海区形成西风漂流；
基础知识答案,包含,④北印度洋形成季风洋流，冬季逆时针，夏季顺时针。
基础知识答案,包含,①影响气候（暖流—增温增湿，寒流—减温减湿）
基础知识答案,包含,②影响海洋生物——渔场
基础知识答案,包含,③影响航海
基础知识答案,包含,④影响海洋污染
基础知识答案,包含,北海道、北海、纽芬兰渔场---寒暖流交汇；秘鲁渔场――上升流
基础知识答案,包含,①这里阳光集中，生物光合作用强；
基础知识答案,包含,②入海河流带来丰富的营养盐类，浮游生物繁盛，鱼饵丰富。
基础知识答案,包含,海洋灾害是指源于海洋的自然灾害：海啸和风暴潮。
基础知识答案,包含,海洋环境问题指源於人类活动的海洋生态破坏：海洋污染、海平面上升、赤潮
基础知识答案,包含,地壳（地表到莫霍介面）、地幔（莫霍面—古登堡面）、地核（古登堡面以下）
基础知识答案,包含,包括地壳和上地幔顶部（软流层之上）
基础知识答案,包含,岩浆岩（喷出岩和侵入岩）、沉积岩（层理构造、有化石）、变质岩。
基础知识答案,包含,岩浆冷却凝固→岩浆岩－外力→沉积岩－变质→变质岩－熔化→岩浆
基础知识答案,包含,①内力作用（地壳运动、岩浆活动、地震、变质作用）
基础知识答案,包含,②外力作用（风化、侵蚀、搬运、沉积、固结成岩）
基础知识答案,包含,褶皱（背斜、向斜），断层（上升岩块－地垒、下沉岩块－地堑）
基础知识答案,包含,外力侵蚀（在外力侵蚀作用之前背斜成山、向斜成谷），背斜顶部受张力，容易被侵蚀成谷地；向斜槽部受到挤压，岩性坚硬不易被侵蚀反而成为山岭。
基础知识答案,包含,庐山、泰山
基础知识答案,包含,东非大裂谷、河平原和汾河谷地
基础知识答案,包含,背斜（储油）、向斜（储水）、大型工程选址，应避开断层
基础知识答案,包含,①流水侵蚀——沟谷、峡谷、瀑布、黄土高原的千沟万壑的地表、溶洞（喀斯特地貌）弯曲的河道--凹岸侵蚀，凸岸沉积（港口宜建在凹岸）
基础知识答案,包含,②流水沉积——山麓冲积扇、河口三角洲、河流中下游冲积平原
基础知识答案,包含,③风力侵蚀——风蚀沟谷、风蚀洼地、蘑菇石、风蚀柱、风蚀城堡等
基础知识答案,包含,④风力沉积——沙丘、沙垄、沙漠边缘的黄土堆、黄土高原
基础知识答案,包含,陆地环境各要素（大气、水、岩石、生物、土壤、地貌）的相互联系、相互制约和相互渗透，构成陆地环境的整体性。例如我国西北地方各环境要素都体现出乾旱特徵。
基础知识答案,包含,①由赤道到两极的地域分异（热量）---――-纬度地带性
基础知识答案,包含,②从沿海到内陆的地域分异（水分）---－-经度地带性
基础知识答案,包含,③山地的垂直地域分异（水分和热量）-－--垂直地带性
基础知识答案,包含,①山地所处的纬度；
基础知识答案,包含,②山地的海拔；
基础知识答案,包含,③阳坡、阴坡；
基础知识答案,包含,④迎风、背风坡。
基础知识答案,包含,一是0℃等温线的海拔（阳坡、阴坡）
基础知识答案,包含,二是降水量的大小(迎风、背风坡)
基础知识答案,包含,海陆分布、地形起伏、洋流影响等。例如我国西北地方的绿洲。
基础知识答案,包含,地震、火山、滑坡和泥石流。
基础知识答案,包含,环太平洋带、地中海——喜马拉雅带
基础知识答案,包含,我国位於两大地震带中。
基础知识答案,包含,提高建筑物抗震强度；实施护坡工程，防止滑坡和崩塌；保护植被，改善生态环境。
基础知识答案,包含,天圆地方说、地圆说、地心说、日心说、大爆炸宇宙学说。
