scope,subject,relation
易混概念一　天体与天体系统,天体,包含
易混概念一　天体与天体系统,天体系统,包含
易混概念一　天体与天体系统,区别1,包含
易混概念二　地球存在生命的条件与地球存在生命的原因,地球存在生命的条件,包含
易混概念二　地球存在生命的条件与地球存在生命的原因,地球存在生命的原因,包含
易混概念三　光照与热量,光照,包含
易混概念三　光照与热量,热量,包含
易混概念三　光照与热量,区别2,包含
易混概念四　积温和无霜期,积温,包含
易混概念四　积温和无霜期,无霜期,包含
易混概念五　恒星日与太阳日,恒星日,包含
易混概念五　恒星日与太阳日,太阳日,包含
易混概念六　冬至日与近日点、夏至日与远日点,冬至日,包含
易混概念六　冬至日与近日点、夏至日与远日点,夏至日,包含
易混概念七　昼夜现象、昼夜更替与昼夜长短,昼夜现象,包含
易混概念七　昼夜现象、昼夜更替与昼夜长短,昼夜更替,包含
易混概念七　昼夜现象、昼夜更替与昼夜长短,昼夜长短,包含
易混概念八　地方时、区时、时区、北京时间、国际标准时间,地方时,包含
易混概念八　地方时、区时、时区、北京时间、国际标准时间,时区,包含
易混概念八　地方时、区时、时区、北京时间、国际标准时间,区时,包含
易混概念八　地方时、区时、时区、北京时间、国际标准时间,北京时间,包含
易混概念八　地方时、区时、时区、北京时间、国际标准时间,国际标准时间,包含
易混概念九　日界线与180°经线,区别3,包含
易混概念十　正午太阳高度与太阳高度,太阳高度,包含
易混概念十　正午太阳高度与太阳高度,正午太阳高度,包含
易混概念十一　地壳与岩石圈,地壳,包含
易混概念十一　地壳与岩石圈,岩石圈,包含
易混概念十一　地壳与岩石圈,区别4,包含
易混概念十二　海岭与海沟,海岭,包含
易混概念十二　海岭与海沟,海沟,包含
易混概念十三　流水侵蚀作用与水的溶蚀作用,流水侵蚀,包含
易混概念十三　流水侵蚀作用与水的溶蚀作用,流水溶蚀,包含
易混概念十四　冲积扇、冲积平原,冲积扇,包含
易混概念十四　冲积扇、冲积平原,冲积平原,包含
易混概念十五　地质作用、地壳运动、地质构造、构造地貌,地质作用,包含
易混概念十五　地质作用、地壳运动、地质构造、构造地貌,地壳运动,包含
易混概念十五　地质作用、地壳运动、地质构造、构造地貌,地质构造,包含
易混概念十五　地质作用、地壳运动、地质构造、构造地貌,构造地貌,包含
易混概念十六　风化作用与风力侵蚀,风化作用,包含
易混概念十六　风化作用与风力侵蚀,风力侵蚀,包含
易混概念十六　风化作用与风力侵蚀,区别5,包含
易混概念十七　黄土高原黄土的成因和地表千沟万壑的成因,黄土高原黄土的成因,包含
易混概念十七　黄土高原黄土的成因和地表千沟万壑的成因,地表千沟万壑的成因,包含
易混概念十八　气候和天气,气候,包含
易混概念十八　气候和天气,天气,包含
易混概念十八　气候和天气,区别6,包含
易混概念十九　温和、寒冷、低温、凉爽,温和,包含
易混概念十九　温和、寒冷、低温、凉爽,寒冷,包含
易混概念十九　温和、寒冷、低温、凉爽,凉爽,包含
易混概念十九　温和、寒冷、低温、凉爽,判断某地气候特征夏季是高温还是凉爽?,包含
易混概念十九　温和、寒冷、低温、凉爽,判断某地冬季气候特征是寒冷还是温和?,包含
易混概念二十　降水、降雨,降水,包含
易混概念二十　降水、降雨,降雨,包含
易混概念二十二　低压与气旋、高压与反气旋,低压,包含
易混概念二十二　低压与气旋、高压与反气旋,气旋,包含
易混概念二十二　低压与气旋、高压与反气旋,高压,包含
易混概念二十二　低压与气旋、高压与反气旋,反气旋,包含
易混概念二十二　低压与气旋、高压与反气旋,区别7,包含
易混概念二十三　热带雨林气候、热带雨林、热带雨林带,热带雨林气候,包含
易混概念二十三　热带雨林气候、热带雨林、热带雨林带,热带雨林,包含
易混概念二十三　热带雨林气候、热带雨林、热带雨林带,热带雨林带,包含
易混概念二十五　寒潮与冷锋,寒潮,包含
易混概念二十五　寒潮与冷锋,冷锋,包含
