name,relation,subject
题目,包含,纬度(决定因素)
题目,包含,大气环流(气压带、风带与季风)
题目,包含,地形(高度、地势、坡向)：
题目,包含,地形(高度、地势、坡向)：
题目,包含,地形(高度、地势、坡向)：
题目,包含,地形(高度、地势、坡向)：
题目,包含,海陆位置：
题目,包含,海陆位置：
题目,包含,洋流：暖流：
题目,包含,洋流：寒流：
题目,包含,人类活动：
题目,包含,纬度：
题目,包含,季节：
题目,包含,地形地势：
题目,包含,下垫面性质：
题目,包含,天气状况：
题目,包含,纬度：
题目,包含,下垫面性质：
题目,包含,天气状况：
题目,包含,纬度：
题目,包含,海拔高度：
题目,包含,天气状况：
题目,包含,大气环流(气压带、风带与季风)：
题目,包含,大气环流(气压带、风带与季风)：
题目,包含,地形：
题目,包含,地形：
题目,包含,地形：
题目,包含,海陆位置：
题目,包含,人类活动：
题目,包含,描述模式：
题目,包含,气压梯度力大小：
题目,包含,距高压中心远近：
题目,包含,摩擦力大小(地面平坦开阔、海面上)：
题目,包含,植被多少：
题目,包含,地形(山谷口的狭管效应、高原上)：
题目,包含,从地理角度解释“蜀犬吠日”？ 
题目,包含,为何巴山多夜雨？
题目,包含,何为雅安天漏？
题目,包含,昆明为何“四季无寒暑(四季如春)，一雨便成秋”？
题目,包含,昆明为何“四季无寒暑(四季如春)，一雨便成秋”？
题目,包含,为何贵阳“天无三日晴”？
题目,包含,为何贵阳“天无三日晴”？
题目,包含,贵阳为何冬季多冻雨？
题目,包含,贵阳为何冬季多冻雨？
题目,包含,新疆地区“一日一洪峰”发生的原因？
题目,包含,锋面雨带的移动规律是：
